시도별,2017,2017,2017,2017,2017,2017
시도별,계,시설봉사,재가봉사,전문봉사,지역사회,기타
계,7931177,6002266,617905,411144,535682,364180
서울특별시,1690796,1182953,172522,118099,111891,105331
부산광역시,572864,436714,44662,30395,41302,19791
대구광역시,417344,318923,37398,12774,28511,19738
인천광역시,458128,354934,33880,19575,32629,17110
광주광역시,409659,281829,43001,16404,47674,20751
대전광역시,326506,233182,15902,33060,32847,11515
울산광역시,316198,260358,14213,13785,19595,8247
세종특별자치시,18209,14719,847,397,1220,1026
경기도,1185619,904987,78274,60635,86202,55521
강원도,238701,175811,21622,11294,18043,11931
충청북도,201183,154341,15317,12663,7874,10988
충청남도,341311,262945,18768,11841,29839,17918
전라북도,249327,189636,16537,12823,22559,7772
전라남도,423225,351349,25267,10401,13892,22316
경상북도,391522,315879,34700,16329,9341,15273
경상남도,535040,442463,36909,18432,24649,12587
제주특별자치도,155545,121243,8086,12237,7614,6365